SaleID,PropertyID,SaleDate,Means of Sales,ClientID,Payment Status
1,1,14/07/2023,Broker,131,Paid
2,3,28/04/2024,Direct,198,Paid
3,4,05/01/2022,Online,123,Pending
4,5,04/02/2022,Online,198,Paid
5,6,17/06/2022,Online,198,Pending
6,7,03/06/2024,Online,147,Pending
7,9,23/09/2022,Online,131,Paid
8,10,26/03/2023,Direct,168,Paid
9,11,10/09/2023,Online,123,Pending
10,12,01/02/2023,Broker,131,Pending
11,13,08/01/2023,Broker,147,Pending
12,14,29/11/2022,Online,132,Paid
13,15,06/08/2024,Broker,168,Pending
14,17,23/08/2024,Online,190,Pending
15,18,22/05/2023,Direct,191,Pending
16,19,29/12/2023,Broker,132,Pending
17,20,12/02/2023,Online,198,Pending
18,21,01/06/2024,Broker,147,Pending
19,22,29/08/2022,Online,198,Paid
20,23,10/02/2023,Broker,198,Pending
21,25,16/11/2022,Direct,168,Pending
22,27,19/02/2024,Broker,190,Paid
23,28,22/02/2023,Broker,132,Paid
24,29,18/05/2022,Broker,147,Paid
25,30,22/07/2024,Broker,123,Pending
26,32,05/07/2023,Online,147,Paid
27,33,04/01/2023,Direct,198,Paid
28,34,22/03/2022,Direct,191,Paid
29,35,25/02/2023,Broker,191,Pending
30,36,05/08/2023,Broker,123,Pending
31,37,07/07/2022,Direct,147,Pending
32,38,12/09/2023,Direct,190,Pending
33,39,24/09/2022,Direct,132,Paid
34,40,04/04/2024,Direct,131,Paid
35,41,18/06/2023,Broker,191,Paid
36,42,19/12/2022,Direct,168,Pending
37,44,19/02/2022,Broker,165,Paid
38,45,21/03/2023,Broker,190,Pending
39,47,06/10/2022,Direct,198,Paid
40,48,16/06/2023,Online,198,Pending
41,49,24/05/2022,Broker,139,Pending
42,50,28/04/2024,Direct,147,Pending
43,51,17/03/2023,Broker,147,Paid
44,52,02/10/2022,Online,132,Paid
45,53,19/01/2023,Direct,104,Pending
46,54,03/05/2022,Broker,139,Pending
47,56,23/07/2024,Online,123,Paid
48,57,17/07/2022,Online,132,Paid
49,59,02/04/2022,Broker,198,Pending
50,61,17/04/2022,Direct,191,Pending
51,62,14/06/2024,Direct,168,Pending
52,63,07/08/2024,Broker,198,Pending
53,64,13/01/2024,Online,190,Paid
54,65,25/11/2022,Online,168,Pending
55,66,03/07/2024,Online,132,Pending
56,67,10/03/2024,Online,168,Pending
57,68,09/11/2023,Broker,147,Paid
58,70,24/02/2023,Online,147,Paid
59,71,07/09/2022,Broker,198,Pending
60,73,09/07/2023,Direct,165,Pending
61,74,22/04/2024,Direct,132,Pending
62,75,04/02/2024,Online,147,Paid
63,76,25/05/2024,Online,190,Paid
64,77,28/06/2024,Online,168,Pending
65,78,21/01/2023,Direct,190,Paid
66,79,14/04/2023,Broker,104,Pending
67,80,12/05/2024,Broker,147,Paid
68,81,20/05/2022,Broker,168,Pending
69,82,14/02/2024,Online,191,Pending
70,85,08/08/2023,Broker,132,Pending
71,87,08/03/2024,Online,147,Paid
72,88,09/10/2023,Direct,190,Pending
73,91,01/07/2024,Broker,190,Pending
74,92,30/05/2022,Online,190,Pending
75,93,12/02/2024,Broker,132,Paid
76,94,05/06/2022,Direct,123,Pending
77,96,23/10/2023,Broker,190,Paid
78,98,31/12/2022,Broker,198,Pending
79,99,19/08/2024,Direct,132,Pending
80,100,09/02/2022,Online,190,Paid
81,101,08/08/2022,Online,147,Paid
82,102,30/07/2022,Online,147,Pending
83,103,06/03/2022,Broker,191,Pending
84,104,20/03/2022,Broker,123,Pending
85,105,29/07/2024,Online,123,Paid
86,106,14/07/2023,Online,198,Paid
87,108,15/05/2022,Broker,139,Paid
88,109,27/06/2024,Online,147,Pending
89,111,19/01/2022,Online,147,Paid
90,113,20/09/2023,Broker,131,Paid
91,114,12/12/2023,Direct,198,Pending
92,115,06/03/2024,Broker,139,Pending
93,117,02/02/2024,Online,132,Paid
94,120,14/08/2023,Online,132,Pending
95,123,13/02/2023,Direct,198,Paid
96,124,07/05/2024,Direct,132,Pending
97,126,10/03/2023,Broker,190,Paid
98,127,24/07/2022,Direct,191,Paid
99,128,28/02/2022,Online,132,Paid
100,129,22/06/2023,Online,168,Paid
101,130,24/02/2023,Online,132,Pending
102,131,09/07/2023,Online,139,Pending
103,132,08/02/2022,Direct,132,Pending
104,133,07/08/2022,Online,132,Pending
105,134,27/06/2023,Online,123,Pending
106,135,19/02/2023,Online,168,Paid
107,136,17/07/2024,Broker,190,Paid
108,137,30/06/2022,Broker,168,Pending
109,138,10/04/2022,Online,190,Paid
110,139,20/06/2023,Direct,190,Pending
111,140,20/04/2024,Direct,190,Pending
112,141,08/04/2023,Broker,139,Pending
113,142,27/11/2022,Broker,104,Paid
114,144,28/09/2023,Direct,168,Pending
115,145,16/07/2022,Broker,139,Pending
116,146,30/01/2022,Broker,168,Pending
117,147,02/03/2024,Online,139,Pending
118,148,29/10/2023,Direct,168,Pending
119,149,23/03/2023,Online,191,Pending
120,150,22/06/2022,Broker,139,Paid
121,152,01/01/2023,Broker,131,Pending
122,153,21/01/2022,Broker,147,Pending
123,154,17/12/2023,Broker,123,Paid
124,156,09/07/2022,Direct,198,Pending
125,157,28/04/2023,Direct,191,Pending
126,158,17/04/2022,Direct,168,Paid
127,159,23/09/2022,Direct,123,Pending
128,160,23/04/2022,Online,147,Pending
129,162,05/10/2023,Online,147,Pending
130,163,29/08/2024,Online,168,Pending
131,164,27/09/2022,Broker,198,Pending
132,165,20/06/2022,Direct,132,Paid
133,167,26/01/2023,Direct,147,Paid
134,168,14/12/2022,Direct,190,Paid
135,169,18/01/2023,Online,139,Pending
136,170,28/01/2022,Broker,147,Pending
137,171,10/09/2023,Broker,198,Pending
138,174,20/07/2024,Broker,132,Paid
139,175,21/11/2023,Online,113,Pending
140,176,20/07/2022,Direct,190,Paid
141,177,03/03/2024,Online,132,Pending
142,178,04/05/2024,Direct,168,Pending
143,179,07/12/2023,Broker,131,Pending
144,181,10/08/2024,Direct,191,Pending
145,182,19/07/2023,Broker,190,Paid
146,183,25/12/2023,Broker,147,Pending
147,184,10/08/2023,Broker,198,Pending
148,185,08/07/2024,Direct,147,Pending
149,186,30/03/2023,Online,147,Pending
150,187,22/07/2023,Broker,190,Pending
151,189,03/08/2024,Direct,147,Pending
152,190,21/07/2024,Broker,168,Pending
153,191,23/04/2022,Direct,198,Paid
154,193,18/01/2022,Online,139,Paid
155,194,15/08/2024,Broker,191,Paid
156,195,05/01/2024,Broker,198,Paid
157,196,05/03/2022,Broker,139,Paid
158,198,26/11/2023,Online,147,Pending
159,199,03/12/2023,Direct,190,Paid
160,200,05/04/2024,Broker,131,Pending
